conference,conference_slug,conference_url,track,label,start_date,end_date,date_text,timezone,confidence,needs_review,source_url,extracted_at_utc,deadline_time,track_original,track_category,deadline_type
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Registered Reports MSR 2027,Initial Report Abstract,2026-11-13,,Fri 13 Nov 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-registered-reports,2026-09-04T17:08:28.417034+00:00,,Registered Reports MSR 2027,Registered Reports,abstract_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Registered Reports MSR 2027,Initial Report Submission,2026-11-20,,Fri 20 Nov 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-registered-reports,2026-09-04T17:08:28.417034+00:00,,Registered Reports MSR 2027,Registered Reports,other_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Registered Reports MSR 2027,Authors Receive PC Member's Reviews,2026-12-23,,Wed 23 Dec 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-registered-reports,2026-09-04T17:08:28.417034+00:00,,Registered Reports MSR 2027,Registered Reports,other
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Registered Reports MSR 2027,Response letter + Revised Report Submission,2027-01-15,,Fri 15 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-registered-reports,2026-09-04T17:08:28.417034+00:00,,Registered Reports MSR 2027,Registered Reports,other_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Registered Reports MSR 2027,Stage 1 Notification,2027-02-04,,Thu 4 Feb 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-registered-reports,2026-09-04T17:08:28.417034+00:00,,Registered Reports MSR 2027,Registered Reports,notification
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Registered Reports MSR 2027,Accepted RR Report Submission,2027-02-28,,Sun 28 Feb 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-registered-reports,2026-09-04T17:08:28.417034+00:00,,Registered Reports MSR 2027,Registered Reports,other_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Registered Reports MSR 2027,Full Paper Submission to EMSE,2027-09-30,,Thu 30 Sep 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-registered-reports,2026-09-04T17:08:28.417034+00:00,,Registered Reports MSR 2027,Registered Reports,paper_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Technical Papers MSR 2027,Abstract,2026-10-20,,Tue 20 Oct 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-technical-papers,2026-09-04T17:08:28.417034+00:00,,Technical Papers MSR 2027,Research,abstract_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Technical Papers MSR 2027,Paper Deadline,2026-10-23,,Fri 23 Oct 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-technical-papers,2026-09-04T17:08:28.417034+00:00,,Technical Papers MSR 2027,Research,paper_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Technical Papers MSR 2027,Early Reject Notification,2026-12-03,,Thu 3 Dec 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-technical-papers,2026-09-04T17:08:28.417034+00:00,,Technical Papers MSR 2027,Research,notification
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Technical Papers MSR 2027,Author Response Period,2026-12-04,2026-12-08,Fri 4 - Tue 8 Dec 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-technical-papers,2026-09-04T17:08:28.417034+00:00,,Technical Papers MSR 2027,Research,author_response
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Technical Papers MSR 2027,Author Notification,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-technical-papers,2026-09-04T17:08:28.417034+00:00,,Technical Papers MSR 2027,Research,notification
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Technical Papers MSR 2027,Camera Ready Deadline,2027-01-26,,Tue 26 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-technical-papers,2026-09-04T17:08:28.417034+00:00,,Technical Papers MSR 2027,Research,camera_ready
